"first_img"	"inquisition_img"	"doc_date"	"parish"	"the_deceased"	"given"	"surname"	"gender"	"verdict"	"cause_of_death"	"deceased_additional_info"	"has_depositions"	"lonlives_url"	"lonlives_document_ref"	"source"
"WACWIC652010010"	"WACWIC652010011"	"1761-02-23"	"St George Hanover Square"	"Unnamed female child"	""	""	"f"	"natural causes"	"still born"	"new born child"	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010010"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010012"	"WACWIC652010013"	"1761-02-24"	"St Martin in the Fields"	"Patrick Cane"	"Patrick"	"Cane"	"m"	"natural causes"	""	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010012"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010014"	"WACWIC652010015"	"1761-02-24"	"St John the Evangelist"	"John Stone"	"John"	"Stone"	"m"	"accidental"	"drowned"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010014"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010016"	"WACWIC652010017"	"1761-03-01"	"St Martin in the Fields"	"Anna Millecent King"	"Anna Millecent"	"King"	"f"	"homicide"	"stabbed/cut throat"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010016"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010018"	"WACWIC652010019"	"1761-03-27"	"St George Hanover Square"	"William Rixon"	"William"	"Rixon"	"m"	"accidental"	"suffocated by a collapsing grave"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010018"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010020"	"WACWIC652010021"	"1761-04-13"	"St James"	"Mary Miller"	"Mary"	"Miller"	"f"	"suicide (insane)"	"cut her throat"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010020"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010022"	"WACWIC652010023"	"1761-04-21"	"St Anne Soho"	"James Chester"	"James"	"Chester"	"m"	"accidental"	"run over by a coach"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010022"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010024"	"WACWIC652010025"	"1761-04-23"	"St Margaret"	"Henry Lyon"	"Henry"	"Lyon"	"m"	"accidental"	"thrown from a cart and run over while drunk"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010024"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010026"	"WACWIC652010027"	"1761-04-27"	"St James"	"Emanuel Wright"	"Emanuel"	"Wright"	"m"	"accidental"	"crushed by a falling wall"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010026"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010028"	"WACWIC652010029"	"1761-04-30"	"St Anne Soho"	"Ann Bird"	"Ann"	"Bird"	"f"	"accidental"	"fell out of a window"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010028"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010030"	"WACWIC652010031"	"1761-05-05"	"St George Hanover Square"	"Jacob Hooper"	"Jacob"	"Hooper"	"m"	"accidental"	"crushed by collapsing foundations of a house"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010030"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010032"	"WACWIC652010033"	"1761-05-29"	"St George Hanover Square"	"Lewis Perrin"	"Lewis"	"Perrin"	"m"	"natural causes"	""	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010032"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010034"	"WACWIC652010035"	"1761-06-12"	"St Martin in the Fields"	"Hugh Bride"	"Hugh"	"Bride"	"m"	"suicide (insane)"	"hanged himself"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010034"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010036"	"WACWIC652010037"	"1761-06-16"	"St George Hanover Square"	"William Browning"	"William"	"Browning"	"m"	"undetermined"	"found hanged in a saw pit"	"child"	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010036"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010038"	"WACWIC652010039"	"1761-06-20"	"St Martin in the Fields"	"Unnamed female child"	""	""	"f"	"homicide"	"strangled"	"child"	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010038"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010040"	"WACWIC652010041"	"1761-06-23"	"St George Hanover Square"	"Edward Mulby"	"Edward"	"Mulby"	"m"	"homicide"	"drowned"	"child"	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010040"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010042"	"WACWIC652010043"	"1761-07-07"	"St George Hanover Square"	"Joseph Pargiter"	"Joseph"	"Pargiter"	"m"	"accidental"	"drowned"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010042"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010044"	"WACWIC652010045"	"1761-07-13"	"St Anne Soho"	"Thomas Austin"	"Thomas"	"Austin"	"m"	"suicide (insane)"	"cut his throat"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010044"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010047"	"WACWIC652010048"	"1761-08-08"	"St James"	"Isaac Reading"	"Isaac"	"Reading"	"m"	"accidental"	"fell from a scaffold"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010047"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010049"	"WACWIC652010050"	"1761-08-17"	"St George Hanover Square"	"Christian Clipping"	"Christian"	"Clipping"	"f"	"suicide (insane)"	"drowned"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010049"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010051"	"WACWIC652010052"	"1761-08-21"	"St John the Evangelist"	"George Dewick"	"George"	"Dewick"	"m"	"accidental"	"drowned while swimming"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010051"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010053"	"WACWIC652010054"	"1761-09-01"	"St George Hanover Square"	"Thomas Wise"	"Thomas"	"Wise"	"m"	"suicide (insane)"	"hanged himself"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010053"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010055"	"WACWIC652010056"	"1761-09-11"	"St Martin in the Fields"	"Mary Rayner"	"Mary"	"Rayner"	"f"	"suicide (insane)"	"poisoned herself"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010055"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010057"	"WACWIC652010058"	"1761-09-17"	"St James"	"Walter Watkins"	"Walter"	"Watkins"	"m"	"natural causes"	"a fever"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010057"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010059"	"WACWIC652010060"	"1761-09-24"	"St Martin in the Fields"	"Unnamed female child"	""	""	"f"	"homicide"	"strangled"	"new born child"	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010059"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010061"	"WACWIC652010062"	"1761-10-14"	"St Martin in the Fields"	"Elijah Hannah"	"Elijah"	"Hannah"	"m"	"homicide"	"stabbed/cut with a sword"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010061"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010063"	"WACWIC652010064"	"1761-10-19"	"St James"	"William Wood"	"William"	"Wood"	"m"	"suicide (insane)"	"hanged himself"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010063"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010065"	"WACWIC652010066"	"1761-10-21"	"St Martin in the Fields"	"Richard Lifft"	"Richard"	"Lifft"	"m"	"suicide (felo de se)"	"hanged himself"	"prisoner, parish watch house"	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010065"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010069"	"WACWIC652010070"	"1765-10-28"	"St George Hanover Square"	"Avice Betts"	"Avice"	"Betts"	"f"	"accidental"	"thrown from a coach"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010069"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010071"	"WACWIC652010072"	"1761-10-30"	"St Martin in the Fields"	"John Watson"	"John"	"Watson"	"m"	"natural causes"	"a consumption"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010071"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010073"	"WACWIC652010074"	"1761-11-03"	"St Martin in the Fields"	"Elizabeth Yarrow"	"Elizabeth"	"Yarrow"	"f"	"accidental"	"fell down stairs"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010073"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010075"	"WACWIC652010076"	"1761-12-16"	"St Anne Soho"	"Unnamed woman"	""	""	"f"	"natural causes"	"had been found in the street and taken to the watch house"	"prisoner, parish watch house"	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010075"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010078"	"WACWIC652010079"	"1761-12-19"	"St George Hanover Square"	"George Badderley"	"George"	"Badderley"	"m"	"natural causes"	""	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010078"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652020003"	"WACWIC652020004"	"1762-01-08"	"St George Hanover Square"	"Christiana Randall"	"Christiana"	"Randall"	"f"	"suicide (insane)"	"shot herself"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652020003"	"WACWIC65202"	"Westminster Coroners' Inquests, 1762, Westminster Abbey Muniment Room"
"WACWIC652020005"	"WACWIC652020006"	"1762-01-13"	"St George Hanover Square"	"Unnamed woman"	""	""	"f"	"accidental"	"drowned"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652020005"	"WACWIC65202"	"Westminster Coroners' Inquests, 1762, Westminster Abbey Muniment Room"
"WACWIC652020007"	"WACWIC652020008"	"1762-01-14"	"St George Hanover Square"	"Sarah Skyring"	"Sarah"	"Skyring"	"f"	"homicide"	"blow to the head with a wheelwrights adze"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652020007"	"WACWIC65202"	"Westminster Coroners' Inquests, 1762, Westminster Abbey Muniment Room"
"WACWIC652020010"	"WACWIC652020011"	"1762-01-30"	"St Paul Covent Garden"	"William Lympas"	"William"	"Lympas"	"m"	"accidental"	"intoxication"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652020010"	"WACWIC65202"	"Westminster Coroners' Inquests, 1762, Westminster Abbey Muniment Room"
"WACWIC652020012"	"WACWIC652020013"	"1762-02-06"	"St Martin in the Fields"	"Elizabeth Read"	"Elizabeth"	"Read"	"f"	"accidental"	"burnt"	"child"	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652020012"	"WACWIC65202"	"Westminster Coroners' Inquests, 1762, Westminster Abbey Muniment Room"
"WACWIC652020014"	"WACWIC652020015"	"1762-02-11"	"St James"	"James Findes"	"James"	"Findes"	"m"	"suicide (insane)"	"hanged himself"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652020014"	"WACWIC65202"	"Westminster Coroners' Inquests, 1762, Westminster Abbey Muniment Room"
"WACWIC652020016"	"WACWIC652020017"	"1762-03-01"	"St John the Evangelist"	"Owen Lewis"	"Owen"	"Lewis"	"m"	"accidental"	"run over by a Cart Wheel"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652020016"	"WACWIC65202"	"Westminster Coroners' Inquests, 1762, Westminster Abbey Muniment Room"
"WACWIC652020021"	"WACWIC652020022"	"1762-03-16"	"St Clement Danes"	"Thomas Davies"	"Thomas"	"Davies"	"m"	"accidental"	"fell down stairs"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652020021"	"WACWIC65202"	"Westminster Coroners' Inquests, 1762, Westminster Abbey Muniment Room"
"WACWIC652020030"	"WACWIC652020031"	"1762-03-18"	"St Martin in the Fields"	"Henry Danker"	"Henry"	"Danker"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652020030"	"WACWIC65202"	"Westminster Coroners' Inquests, 1762, Westminster Abbey Muniment Room"
"WACWIC652020039"	"WACWIC652020040"	"1762-03-25"	"St James"	"Sarah Mason"	"Sarah"	"Mason"	"f"	"suicide (insane)"	"hanged herself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652020039"	"WACWIC65202"	"Westminster Coroners' Inquests, 1762, Westminster Abbey Muniment Room"
"WACWIC652020047"	"WACWIC652020048"	"1762-03-25"	"St Martin in the Fields"	"Gilbert Cocks"	"Gilbert"	"Cocks"	"m"	"natural causes"	""	"prisoner, house of an officer of the Marshall's Court"	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652020047"	"WACWIC65202"	"Westminster Coroners' Inquests, 1762, Westminster Abbey Muniment Room"
"WACWIC652020056"	"WACWIC652020057"	"1762-03-26"	"St George Hanover Square"	"William Fagin"	"William"	"Fagin"	"m"	"natural causes"	"following a brawl"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652020056"	"WACWIC65202"	"Westminster Coroners' Inquests, 1762, Westminster Abbey Muniment Room"
"WACWIC652020067"	"WACWIC652020068"	"1762-04-08"	"St Margaret"	"Matthew O'Bryan"	"Matthew"	"O'Bryan"	"m"	"accidental"	"run over by a Coach Wheel"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652020067"	"WACWIC65202"	"Westminster Coroners' Inquests, 1762, Westminster Abbey Muniment Room"
"WACWIC652020076"	"no inquisition?"	"1762-04-11"	""	"Henry Atley"	"Henry"	"Atley"	"m"	"-"	"-"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652020076"	"WACWIC65202"	"Westminster Coroners' Inquests, 1762, Westminster Abbey Muniment Room"
"WACWIC652020078"	"WACWIC652020079"	"1762-04-12"	"St James"	"Unnamed male child"	""	""	"m"	"homicide"	"wilful neglect, abandoned newborn in the highway to die"	"new born child"	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652020078"	"WACWIC65202"	"Westminster Coroners' Inquests, 1762, Westminster Abbey Muniment Room"
"WACWIC652020086"	"WACWIC652020087"	"1762-04-14"	"St Margaret"	"Thomas Arnold"	"Thomas"	"Arnold"	"m"	"accidental"	"run over by the Wheel of a Dray"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652020086"	"WACWIC65202"	"Westminster Coroners' Inquests, 1762, Westminster Abbey Muniment Room"
